url	created_time	message	cleaned_message	emojis	mentions	names	message_tags	attachments	urls	date	day_week	Mon	Tue	Wed	Thur	Fri	Sat	winter	spring	summer	hour	morning	afternoon	evening	share	share_url	photo	photo_url	video	video_url	media_desc	thumbnail_url	link	link_url	total engagement	engagement rate	reactions	shares	comments	cleaned_text
https://www.facebook.com/1003344626383879/posts/2061269963924668/	2018-10-14T14:04:02+0000	“Incidents of human trafficking, fraud and neglect continue to emerge across the nation.”	['incid', 'human', 'traffick', 'fraud', 'neglect', 'continu', 'emerg', 'across', 'nation']					[{'media_type': 'share', 'media_url': 'https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2RJLuMS&h=AT0xyDeWxDfIA_cDAK7DMENUG8Zss50a9QZlXeXths2xFlT3pg985CYv2-IuaBRodoHxwTHKkCRNekp-bgZNC9dKkN6lrzzTLX5vZCjQR391aPb3R1n-xYuMRj510Je4&s=1', 'media_description': 'Migrant workers in Indiana: They harvest our food, but risk labor trafficking', 'thumbnail_url': None}]		2018-10-14	6	0	0	0	0	0	0	0	0	0	14	0	1	0	1	https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2RJLuMS&h=AT0xyDeWxDfIA_cDAK7DMENUG8Zss50a9QZlXeXths2xFlT3pg985CYv2-IuaBRodoHxwTHKkCRNekp-bgZNC9dKkN6lrzzTLX5vZCjQR391aPb3R1n-xYuMRj510Je4&s=1	0		0		['Migrant workers in Indiana: They harvest our food, but risk labor trafficking']	[None]	0		21	73.06889353	8	13	0	
https://www.facebook.com/1003344626383879/posts/1974516862599979/	2018-08-10T20:10:08+0000	Juvenile Delinquent or Victim of Human Trafficking?	['juvenil', 'delinqu', 'victim', 'human', 'traffick']					[{'media_type': 'share', 'media_url': 'https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2OmwO3T&h=AT0jFyKfd-X0d-p6HjCEq7Hj0b0YB2UksdGYvyuixLI2UBJWFb062PXgfXYyYvHXyAYl9wxU18zoVJJlRQ4cHpPpu97lfLh4E3Ythnx363GxJRfku_7xyKB7Sd1We015&s=1', 'media_description': 'Juvenile Delinquent or Victim of Human Trafficking? | ERASE Child Trafficking', 'thumbnail_url': None}]		2018-08-10	4	0	0	0	0	1	0	0	0	1	20	0	0	1	1	https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2OmwO3T&h=AT0jFyKfd-X0d-p6HjCEq7Hj0b0YB2UksdGYvyuixLI2UBJWFb062PXgfXYyYvHXyAYl9wxU18zoVJJlRQ4cHpPpu97lfLh4E3Ythnx363GxJRfku_7xyKB7Sd1We015&s=1	0		0		['Juvenile Delinquent or Victim of Human Trafficking? | ERASE Child Trafficking']	[None]	0		23	87.41923223	11	12	0	
https://www.facebook.com/helperase/photos/a.1029649477086727/1956210921097240/?type=3	2018-07-30T23:26:08+0000	"#Repost @amnestytoronto
・・・
“July 30th is the annual World Day Against Trafficking in Persons. This year, the UNODC is focusing on the responses to child and youth trafficking around the world. Thousands of men, women, and children have their rights, freedoms, and dignity stolen from them at the hands of human traffickers who prey on their vulnerability. Almost one-third of these victims are children, and women and girls make up 71% of the total demographic. Victims come from a range of situations, including the need to escape armed conflict, sexual exploitation, modern slavery, and organ removal. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
But it doesn't have to be this way. Together, we can raise awareness, call out and punish those who are accountable, and support the protection and justice of children and youths affected by the heinous crime of human trafficking.” (Via @amnestynsw ) ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#humantrafficking #endhumantrafficking #worlddayagainsttraffickinginpersons #childrensrights #humanrights"	['juli', 'th', 'annual', 'world', 'day', 'traffick', 'person', 'year', 'unodc', 'focus', 'respons', 'child', 'youth', 'traffick', 'around', 'world', 'thousand', 'men', 'women', 'children', 'right', 'freedom', 'digniti', 'stolen', 'hand', 'human', 'traffick', 'prey', 'vulner', 'almost', 'one-third', 'victim', 'children', 'women', 'girl', 'make', 'total', 'demograph', 'victim', 'come', 'rang', 'situat', 'includ', 'need', 'escap', 'arm', 'conflict', 'sexual', 'exploit', 'modern', 'slaveri', 'organ', 'remov', 'way', 'togeth', 'rais', 'awar', 'call', 'punish', 'account', 'support', 'protect', 'justic', 'children', 'youth', 'affect', 'heinou', 'crime', 'human', 'traffick', 'via']		['amnestytoronto', 'amnestynsw']		['Repost', 'humantrafficking', 'endhumantrafficking', 'WorldDayAgainstTraffickinginPersons', 'childrensrights', 'humanrights']	[{'media_type': 'photo', 'media_url': 'https://www.facebook.com/helperase/photos/a.1029649477086727/1956210921097240/?type=3', 'media_description': 'Timeline Photos', 'thumbnail_url': None}]		2018-07-30	0	1	0	0	0	0	0	0	0	1	23	0	0	1	0		1	https://www.facebook.com/helperase/photos/a.1029649477086727/1956210921097240/?type=3	0		['Timeline Photos']	[None]	0		41	158.1790123	23	18	0	
https://www.facebook.com/1003344626383879/posts/1511541485564188/	2017-06-16T11:14:01+0000							[{'media_type': 'share', 'media_url': 'http://l.facebook.com/l.php?u=http%3A%2F%2Fbuff.ly%2F2sZhLmW&h=AT3Px1KjUMR3e6jzOXfLZz6sHdpfjxej-PpR-bGOjwLtNTEIM7PC0tenwDr-R11A1TYK11xG7-l_hu8pq58WETX2i7kNODhAbz-We3esD8rkrlieZtCXjnVrtQBIG3ax&s=1', 'media_description': 'Operation Code Red: Putting and end to human trafficking', 'thumbnail_url': None}]		2017-06-16	4	0	0	0	0	1	0	0	0	1	11	1	0	0	1	http://l.facebook.com/l.php?u=http%3A%2F%2Fbuff.ly%2F2sZhLmW&h=AT3Px1KjUMR3e6jzOXfLZz6sHdpfjxej-PpR-bGOjwLtNTEIM7PC0tenwDr-R11A1TYK11xG7-l_hu8pq58WETX2i7kNODhAbz-We3esD8rkrlieZtCXjnVrtQBIG3ax&s=1	0		0		['Operation Code Red: Putting and end to human trafficking']	[None]	0		4	25.30044276	4	0	0	
https://www.facebook.com/1003344626383879/posts/2623198757731783/	2019-09-23T20:10:04+0000	“To better reach victims, law enforcement can build relationships with community leaders and community organizations who may be more likely to hear about labor abuses,” #labortrafficking #endhumantrafficking	['better', 'reach', 'victim', 'law', 'enforc', 'build', 'relationship', 'commun', 'leader', 'commun', 'organ', 'may', 'like', 'hear', 'labor', 'abus']				['labortrafficking', 'endhumantrafficking']	[{'media_type': 'share', 'media_url': 'https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2mvEFDB&h=AT1Zo3CmZh6oP7YHiT0-S6eMh-v-tDNpxPZhfI7Pe43Z8hBdfNM-Bvb-YBMGz5PKx58lRsdPP7PCdMd5rGx0thJ_3JOOZiqF4qq7aDLEraSmCqNnzNdcOeyC75zD3D3T&s=1', 'media_description': 'Journal Times editorial: H-2A visa program must be monitored better', 'thumbnail_url': None}]		2019-09-23	0	1	0	0	0	0	0	0	0	0	20	0	0	1	1	https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2mvEFDB&h=AT1Zo3CmZh6oP7YHiT0-S6eMh-v-tDNpxPZhfI7Pe43Z8hBdfNM-Bvb-YBMGz5PKx58lRsdPP7PCdMd5rGx0thJ_3JOOZiqF4qq7aDLEraSmCqNnzNdcOeyC75zD3D3T&s=1	0		0		['Journal Times editorial: H-2A visa program must be monitored better']	[None]	0		7	19.01140684	4	3	0	
https://www.facebook.com/1003344626383879/posts/2510766685641658/	2019-07-23T20:10:05+0000	"""Trafficking happens in our backyard and under our noses, and it's a responsibility of all of us to look out for it and do what we can not to enable it,"""	['traffick', 'happen', 'backyard', 'nose', 'respons', 'us', 'look', 'enabl']					"[{'media_type': 'share', 'media_url': 'https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2YiEeh4&h=AT2NL8RYcAX3k0r4A4Ef9j7LMsqjYdtxLZ9H-pDK34eNmg9K7eicgDidnp3UMAWjVjsLXaRuFFodI7njYQJ6FmXe6JLvR_LRsbP4VdxSPuYnaP2jdBRj7rnAovQfPQoW&s=1', 'media_description': ""Advocates want landlords' help in sex trafficking battle in Billings"", 'thumbnail_url': None}]"		2019-07-23	1	0	1	0	0	0	0	0	0	1	20	0	0	1	1	https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2YiEeh4&h=AT2NL8RYcAX3k0r4A4Ef9j7LMsqjYdtxLZ9H-pDK34eNmg9K7eicgDidnp3UMAWjVjsLXaRuFFodI7njYQJ6FmXe6JLvR_LRsbP4VdxSPuYnaP2jdBRj7rnAovQfPQoW&s=1	0		0		"[""Advocates want landlords' help in sex trafficking battle in Billings""]"	[None]	0		39	108.0931264	21	18	0	
https://www.facebook.com/helperase/photos/a.1029649477086727/1613914795326856/?type=3	2017-09-25T14:14:07+0000	"Human Trafficking is a Market-Driven Crime. No Demand = No Need For Supply 
Stop The Demand! Human Trafficking is a crime that can be defeated. If we stopped the consumers/buyers aka rapist then there would not be a demand. Speak up in your community. Demand tougher sentencing on the buyers. #NotForSale"	['human', 'traffick', 'market-driven', 'crime', 'demand', 'need', 'suppli', 'stop', 'demand', 'human', 'traffick', 'crime', 'defeat', 'stop', 'consum', 'buyer', 'aka', 'rapist', 'would', 'demand', 'speak', 'commun', 'demand', 'tougher', 'sentenc', 'buyer']				['NotForSale']	[{'media_type': 'photo', 'media_url': 'https://www.facebook.com/helperase/photos/a.1029649477086727/1613914795326856/?type=3', 'media_description': 'Timeline Photos', 'thumbnail_url': None}]		2017-09-25	0	1	0	0	0	0	0	0	0	0	14	0	1	0	0		1	https://www.facebook.com/helperase/photos/a.1029649477086727/1613914795326856/?type=3	0		['Timeline Photos']	[None]	0		12	62.33766234	3	9	0	
https://www.facebook.com/1003344626383879/posts/1679082968810038/	2017-11-29T21:04:00+0000	"Bay Area woman helps rescue hundreds of human trafficking victims, missing teens 
In a society where human trafficking hides in plain sight, Reeves sees its victims, and she knows them well."	['bay', 'area', 'woman', 'help', 'rescu', 'hundr', 'human', 'traffick', 'victim', 'miss', 'teen', 'societi', 'human', 'traffick', 'hide', 'plain', 'sight', 'reev', 'see', 'victim', 'know', 'well']					[{'media_type': 'share', 'media_url': 'http://l.facebook.com/l.php?u=http%3A%2F%2Fj.mp%2F2zBEITV&h=AT3y265-cmpNswK-r_wGS497uRAg6XW8yHPQ1p9OdU3QWM48Equ1kzNrhuWYcFKJHLRU5TXkAIu4aL08EE91gLMcs_uzZiiYt3jad3RMF5KICB2tPqVLT9P4XffJVWhM&s=1', 'media_description': 'Bay Area woman helps rescue hundreds of human trafficking victims, missing teens', 'thumbnail_url': None}]		2017-11-29	2	0	0	1	0	0	0	0	0	0	21	0	0	1	1	http://l.facebook.com/l.php?u=http%3A%2F%2Fj.mp%2F2zBEITV&h=AT3y265-cmpNswK-r_wGS497uRAg6XW8yHPQ1p9OdU3QWM48Equ1kzNrhuWYcFKJHLRU5TXkAIu4aL08EE91gLMcs_uzZiiYt3jad3RMF5KICB2tPqVLT9P4XffJVWhM&s=1	0		0		['Bay Area woman helps rescue hundreds of human trafficking victims, missing teens']	[None]	0		19	92.14354995	14	4	1	
https://www.facebook.com/1003344626383879/posts/1585330968185239/	2017-08-23T23:04:08+0000	“There are some misconceptions about human trafficking, the first is that human trafficking only involves commercial sex trafficking, and indeed that is a big part of it, but there is a lot more to it than that. It is mining, forced military service, working in nail salons and other industries,” Schunemann said. “The other big misconception is that it doesn’t happen around here, and it absolutely does.”	['misconcept', 'human', 'traffick', 'first', 'human', 'traffick', 'involv', 'commerci', 'sex', 'traffick', 'inde', 'big', 'part', 'lot', 'mine', 'forc', 'militari', 'servic', 'work', 'nail', 'salon', 'industri', 'schunemann', 'said', 'big', 'misconcept', 'happen', 'around', 'absolut']			['Schunemann']		[{'media_type': 'share', 'media_url': 'http://l.facebook.com/l.php?u=http%3A%2F%2Fj.mp%2F2w0DJaY&h=AT3JNOMP70S6CUSRxz2xqzyfk_dzNSXSGCfkmFCACYGAwWhxOj9NgUNNuUuoXKCxZuqot_QfYSkH389Z-r-9gffa6iY6y0gOtrMv0HEtD7tw7IgPK6Zby10S5uobf3LN&s=1', 'media_description': 'Concord resident works to aid victims of human trafficking', 'thumbnail_url': None}]		2017-08-23	2	0	0	1	0	0	0	0	0	1	23	0	0	1	1	http://l.facebook.com/l.php?u=http%3A%2F%2Fj.mp%2F2w0DJaY&h=AT3JNOMP70S6CUSRxz2xqzyfk_dzNSXSGCfkmFCACYGAwWhxOj9NgUNNuUuoXKCxZuqot_QfYSkH389Z-r-9gffa6iY6y0gOtrMv0HEtD7tw7IgPK6Zby10S5uobf3LN&s=1	0		0		['Concord resident works to aid victims of human trafficking']	[None]	0		6	31.4795383	4	2	0	
https://www.facebook.com/1003344626383879/posts/3164698443581809/	2020-05-25T17:40:43+0000	"""A day of thanks for the valor of others, a day to remember the splendor of America and those of her children who rest in this cemetery and others."" - Ronald Reagan on memorial Day, 1986"	['day', 'thank', 'valor', 'day', 'rememb', 'splendor', 'america', 'children', 'rest', 'cemeteri', '-', 'ronald', 'reagan', 'memori', 'day']					[{'media_type': 'video_inline', 'media_url': 'https://www.facebook.com/sbcountyda/videos/548093316097646/', 'media_description': 'Take A Moment To Reflect On Our Fallen', 'thumbnail_url': None}]		2020-05-25	0	1	0	0	0	0	0	0	1	0	17	0	1	0	0		0		1	https://www.facebook.com/sbcountyda/videos/548093316097646/	['Take A Moment To Reflect On Our Fallen']	[None]	0		4	8.424599832	2	2	0	
